epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4906.9,1.14048,0.94701,1.5568,0.82694,0.8946,0.91895,0.66137,1.13778,0.7199,1.55977,0.0075052,0.0075052,0.0075052
65,4982.56,1.13032,0.94602,1.54674,0.79025,0.88328,0.90527,0.61617,1.12644,0.72355,1.54618,0.0074656,0.0074656,0.0074656
66,5058.37,1.13326,0.93252,1.54598,0.93686,0.83862,0.93952,0.63751,1.1127,0.71159,1.52707,0.007426,0.007426,0.007426
67,5134.18,1.11481,0.92101,1.53149,0.9203,0.81256,0.88267,0.60239,1.10139,0.69295,1.51545,0.0073864,0.0073864,0.0073864
68,5209.72,1.11395,0.9243,1.52858,0.92688,0.87488,0.93454,0.6562,1.10634,0.70225,1.52021,0.0073468,0.0073468,0.0073468
69,5285.41,1.10946,0.90685,1.52928,0.85249,0.89717,0.9171,0.61204,1.13175,0.69464,1.54667,0.0073072,0.0073072,0.0073072
70,5361.17,1.10757,0.90119,1.52515,0.90766,0.85784,0.89748,0.6417,1.09017,0.67636,1.50843,0.0072676,0.0072676,0.0072676
71,5436.69,1.12217,0.92802,1.53359,0.9264,0.82033,0.92616,0.63596,1.12345,0.68324,1.54569,0.007228,0.007228,0.007228
72,5512.23,1.09647,0.8899,1.5093,0.93227,0.90092,0.93006,0.64807,1.09883,0.66926,1.50179,0.0071884,0.0071884,0.0071884
73,5587.73,1.1027,0.9114,1.51797,0.93516,0.89054,0.94507,0.66879,1.08998,0.66765,1.50252,0.0071488,0.0071488,0.0071488
74,5663.2,1.0777,0.87575,1.49725,0.91137,0.83101,0.91122,0.62057,1.12246,0.66295,1.53166,0.0071092,0.0071092,0.0071092
75,5738.83,1.09651,0.89731,1.50675,0.92403,0.83426,0.92978,0.65762,1.0765,0.6493,1.48443,0.0070696,0.0070696,0.0070696
76,5814.58,1.08561,0.88008,1.50246,0.90832,0.88685,0.93121,0.64806,1.05985,0.64343,1.47219,0.00703,0.00703,0.00703
77,5890.31,1.07592,0.86636,1.49291,0.92062,0.86454,0.92459,0.67448,1.08296,0.65733,1.49929,0.0069904,0.0069904,0.0069904
78,5966.02,1.07005,0.86544,1.49669,0.93725,0.86319,0.92325,0.65394,1.07288,0.63979,1.4784,0.0069508,0.0069508,0.0069508
79,6041.26,1.07395,0.86135,1.49545,0.86369,0.89478,0.91742,0.62559,1.08664,0.63933,1.48559,0.0069112,0.0069112,0.0069112
80,6116.79,1.06893,0.84969,1.48659,0.91335,0.87553,0.92758,0.66821,1.04712,0.63225,1.45432,0.0068716,0.0068716,0.0068716
81,6192.08,1.05862,0.85371,1.47472,0.94824,0.92234,0.9444,0.67501,1.04668,0.62133,1.45749,0.006832,0.006832,0.006832
82,6267.61,1.05968,0.84861,1.47619,0.94515,0.92161,0.94849,0.67064,1.06921,0.63945,1.47757,0.0067924,0.0067924,0.0067924
83,6343.15,1.05744,0.83482,1.46878,0.94338,0.90328,0.94539,0.67297,1.04279,0.62337,1.45688,0.0067528,0.0067528,0.0067528
84,6418.56,1.0587,0.84864,1.46683,0.85423,0.91962,0.92564,0.68244,1.04818,0.6122,1.45279,0.0067132,0.0067132,0.0067132
