                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.53712,                0.37952,                0.89174,                0.96877,                0.96435,                 0.9795,                0.82841,                0.66509,                0.39923,                0.99205,             0.00064619,             0.00064619,             0.00064619
                     85,                 0.5137,                  0.376,                0.87757,                0.97454,                 0.9569,                0.97776,                0.82559,                0.65863,                0.40399,                0.99388,             0.00063676,             0.00063676,             0.00063676
                     86,                0.51764,                0.36434,                 0.8885,                0.97374,                 0.9569,                0.97991,                0.81909,                0.70306,                 0.4067,                 1.0016,             0.00062733,             0.00062733,             0.00062733
                     87,                0.52115,                0.36298,                0.87921,                0.94797,                0.96552,                0.97577,                0.82334,                0.68362,                0.40642,                 1.0078,              0.0006179,              0.0006179,              0.0006179
                     88,                0.53105,                0.36434,                0.88158,                0.96314,                0.95031,                0.96793,                0.81183,                0.66944,                0.40407,                0.98222,             0.00060847,             0.00060847,             0.00060847
                     89,                0.54428,                0.38254,                0.89121,                0.98622,                0.97252,                0.98167,                0.81716,                0.67575,                0.39787,                0.98439,             0.00059904,             0.00059904,             0.00059904
                     90,                0.51071,                0.36107,                0.88172,                0.96226,                 0.9569,                0.97759,                0.83446,                0.62475,                0.38589,                0.96485,             0.00058961,             0.00058961,             0.00058961
                     91,                0.52444,                0.36052,                0.88703,                0.96508,                 0.9518,                0.97816,                0.83045,                0.65543,                0.38918,                0.97769,             0.00058017,             0.00058017,             0.00058017
                     92,                0.53425,                 0.3775,                0.89968,                0.95139,                0.96552,                0.97237,                0.82463,                0.67544,                0.41505,                0.98657,             0.00057074,             0.00057074,             0.00057074
                     93,                0.55381,                0.38085,                0.88759,                0.97477,                 0.9569,                0.97248,                0.82907,                0.64529,                0.39273,                0.97184,             0.00056131,             0.00056131,             0.00056131
                     94,                0.52055,                0.36082,                0.87685,                 0.9622,                0.96552,                0.97448,                0.83149,                0.66435,                0.39415,                 0.9799,             0.00055188,             0.00055188,             0.00055188
                     95,                0.52061,                 0.3704,                0.88201,                0.97928,                0.94828,                0.97858,                0.82439,                0.66643,                0.41452,                0.97646,             0.00054245,             0.00054245,             0.00054245
                     96,                0.51254,                0.35445,                0.87627,                0.96009,                 0.9569,                0.97464,                0.83423,                0.64376,                0.38636,                0.97814,             0.00053302,             0.00053302,             0.00053302
                     97,                 0.5027,                0.35385,                0.88442,                0.94136,                0.97414,                0.98058,                0.84081,                0.64828,                0.38197,                0.96931,             0.00052359,             0.00052359,             0.00052359
                     98,                0.50268,                0.35451,                0.88125,                0.98922,                0.95111,                0.98024,                0.83522,                0.64459,                0.37246,                0.97324,             0.00051415,             0.00051415,             0.00051415
                     99,                0.50252,                0.35658,                0.87506,                0.98217,                0.96258,                0.98149,                0.83931,                0.65251,                 0.3697,                 0.9693,             0.00050472,             0.00050472,             0.00050472
                    100,                 0.5011,                0.34464,                0.87923,                0.97667,                0.93966,                0.97857,                0.83416,                0.64823,                0.37517,                0.97343,             0.00049529,             0.00049529,             0.00049529
                    101,                0.48668,                0.35029,                0.87294,                0.97493,                0.94129,                0.97866,                0.83199,                 0.6383,                0.39045,                0.97361,             0.00048586,             0.00048586,             0.00048586
                    102,                 0.5079,                0.35254,                0.87932,                0.95582,                0.97414,                0.98142,                0.83913,                0.65043,                0.36556,                0.97963,             0.00047643,             0.00047643,             0.00047643
                    103,                0.49561,                0.34875,                0.87945,                0.95761,                 0.9569,                0.97813,                0.83765,                0.61661,                0.37593,                0.95829,               0.000467,               0.000467,               0.000467
                    104,                0.49292,                 0.3483,                0.86659,                0.96584,                0.96171,                0.97733,                0.82596,                0.66282,                0.38731,                0.97468,             0.00045757,             0.00045757,             0.00045757
                    105,                0.49116,                0.33877,                0.86968,                0.96897,                0.96552,                0.98166,                0.84064,                0.65844,                0.38069,                0.97203,             0.00044813,             0.00044813,             0.00044813
                    106,                 0.4972,                0.35803,                0.88154,                0.94536,                0.96452,                0.97554,                0.83386,                0.63194,                0.37874,                0.95515,              0.0004387,              0.0004387,              0.0004387
                    107,                0.48276,                 0.3398,                0.87347,                0.96278,                0.96446,                0.97914,                0.83402,                0.62307,                0.38036,                0.95839,             0.00042927,             0.00042927,             0.00042927
                    108,                 0.4773,                0.34818,                0.86982,                 0.9537,                 0.9575,                0.97641,                0.82703,                0.65729,                 0.3807,                0.97816,             0.00041984,             0.00041984,             0.00041984
                    109,                0.47258,                0.32273,                 0.8661,                0.96569,                0.93222,                0.97545,                0.82414,                 0.6374,                0.37703,                0.95829,             0.00041041,             0.00041041,             0.00041041
                    110,                0.48492,                0.34809,                 0.8734,                0.98046,                0.93224,                0.97958,                0.84075,                0.63939,                0.38569,                0.97475,             0.00040098,             0.00040098,             0.00040098
                    111,                0.47692,                0.33662,                0.87341,                0.97322,                0.95337,                0.98083,                0.82763,                 0.6402,                0.37608,                0.97458,             0.00039155,             0.00039155,             0.00039155
                    112,                0.48635,                0.34408,                0.86693,                0.96128,                0.96552,                0.98046,                0.83095,                0.66002,                 0.3817,                0.97109,             0.00038211,             0.00038211,             0.00038211
                    113,                0.47111,                0.32986,                0.87236,                0.94815,                0.96953,                0.97451,                0.84969,                0.62371,                0.35849,                0.94553,             0.00037268,             0.00037268,             0.00037268
                    114,                0.47581,                0.32564,                0.87196,                0.97578,                0.94828,                0.98258,                0.84152,                0.65033,                0.36634,                0.97137,             0.00036325,             0.00036325,             0.00036325
                    115,                0.46401,                0.32471,                0.86085,                0.97407,                0.93966,                0.98078,                0.84262,                0.64121,                0.36907,                0.96419,             0.00035382,             0.00035382,             0.00035382
                    116,                0.46387,                 0.3209,                0.87302,                0.98963,                0.94828,                0.98161,                0.83955,                0.62623,                0.37001,                0.95418,             0.00034439,             0.00034439,             0.00034439
                    117,                0.45954,                0.32392,                0.86868,                0.98238,                0.96171,                 0.9807,                0.84471,                0.62574,                0.36942,                0.95832,             0.00033496,             0.00033496,             0.00033496
                    118,                0.45588,                0.31891,                0.86812,                0.96245,                0.96552,                0.98015,                0.83681,                0.66282,                0.37131,                0.97437,             0.00032553,             0.00032553,             0.00032553
                    119,                0.45862,                 0.3069,                0.86219,                0.95626,                0.95968,                0.97191,                0.84029,                0.62837,                0.36705,                0.94961,             0.00031609,             0.00031609,             0.00031609
                    120,                0.46564,                0.32027,                0.85838,                 0.9723,                0.95894,                0.98062,                0.84169,                0.63976,                0.37467,                0.96203,             0.00030666,             0.00030666,             0.00030666
                    121,                0.46335,                 0.3185,                0.86238,                0.97282,                0.95425,                0.97696,                0.83374,                0.63017,                0.36348,                 0.9586,             0.00029723,             0.00029723,             0.00029723
                    122,                0.45046,                 0.3208,                0.86654,                0.97921,                0.94828,                0.97993,                0.84361,                0.62192,                0.36952,                0.95152,              0.0002878,              0.0002878,              0.0002878
                    123,                  0.463,                0.32036,                0.87294,                0.98195,                0.96154,                 0.9789,                0.83665,                0.63397,                0.35499,                0.96111,             0.00027837,             0.00027837,             0.00027837
                    124,                0.44904,                0.32228,                0.85811,                0.97427,                 0.9569,                0.97465,                0.84028,                0.61977,                0.36752,                0.95399,             0.00026894,             0.00026894,             0.00026894
                    125,                0.44713,                0.30786,                0.85688,                0.98096,                0.96316,                0.98072,                0.85459,                0.60742,                0.35549,                0.94675,             0.00025951,             0.00025951,             0.00025951
                    126,                0.43856,                 0.3061,                0.85505,                0.94861,                0.97706,                0.98151,                0.84179,                0.62997,                0.35055,                0.96151,             0.00025007,             0.00025007,             0.00025007
                    127,                0.44184,                0.30362,                0.85528,                0.96842,                 0.9569,                0.98102,                0.84104,                0.62499,                0.35351,                0.96103,             0.00024064,             0.00024064,             0.00024064
                    128,                0.44129,                0.30265,                0.86313,                0.95672,                  0.956,                0.98084,                0.84512,                0.62081,                0.35566,                0.96165,             0.00023121,             0.00023121,             0.00023121
